Animal ID,Description/Breed,Sex,Intake,Shelter County
A395686,GERM SHEPHERD,Female,FIELD,SoCo
A379968,BEAGLE,Neutered,FIELD,SoCo
A315553,LABRADOR RETR/MIX,Spayed,OVER THE COUNTER,SoCo
A398868,GERM SHEPHERD/MIX,Unknown,FLD_CRUEL,SoCo
A374683,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A392287,POTBELLY PIG,Female,FIELD,SoCo
A398095,DOMESTIC SH,Spayed,PHONE,SoCo
A374639,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A395721,GERM SHEPHERD,Male,OVER THE COUNTER,SoCo
A395624,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A396579,RABBIT SH,Female,OVER THE COUNTER,SoCo
A386757,PIT BULL,Male,FLD_ARREST,SoCo
A395566,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A316335,PARSON RUSS TER,Spayed,FIELD,SoCo
A394367,GERM SHEPHERD,Neutered,OVER THE COUNTER,SoCo
A347717,BOSTON TERRIER,Female,OVER THE COUNTER,SoCo
A394253,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A316335,PARSON RUSS TER,Spayed,FIELD,SoCo
A400337,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A302576,LABRADOR RETR,Female,FIELD,SoCo
A395857,LOP-AMER FUZZY,Female,OVER THE COUNTER,SoCo
A400094,CATAHOULA/AUST SHEPHERD,Male,FIELD,SoCo
A400270,SIAMESE/MIX,Spayed,OVER THE COUNTER,SoCo
A395759,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A397927,GOAT,Unknown,FIELD,SoCo
A392034,SHEEP,Male,FIELD,SoCo
A397929,GOAT,Unknown,FIELD,SoCo
A386347,GERM SHEPHERD,Neutered,FIELD,SoCo
A393404,LABRADOR RETR,Male,OVER THE COUNTER,SoCo
A307572,GERM SHEPHERD/BLACK/TAN HOUND,Spayed,OVER THE COUNTER,SoCo
A283704,GERM SHEPHERD/GREAT PYRENEES,Neutered,OVER THE COUNTER,SoCo
A395473,CHICKEN,Male,FIELD,SoCo
A395184,PIT BULL/MIX,Neutered,FIELD,SoCo
A383072,ALASKAN HUSKY,Spayed,FIELD,SoCo
A397926,GOAT,Unknown,FIELD,SoCo
A399287,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
