a125056,Animal ID,Kennel #,Name,Breed,Description,Sex,Age,S/N,FIS,Intake,,Available,Last Day,Outcome,Applications
X,A122246,3,Chance,Catahoula Mix,Blue Merle,Male,2 Yrs,Yes,,Owner,,10/9/2020,10/23/2020,Rescue Only,
X,A125012,P9,Alice,Chih Mix,Tan,Female,Adult,,Y,Stray,28144,10/22/2020,10/31/2020,Adopted,10/22/20
X,A125014,19,Ocelot,Lab Mix,Black,Male,10 yr,No,,Stray,28146,10/22/2020,10/31/2020,Adopted,10/22/20
X,A125017,5,Surfer Girl,Shepherd Mix,Black/Tan,Female,2 Yrs,No,,Stray,28147,10/23/2020,11/2/2020,,X
X,A125031,10,Judge,German Shep.,Tan/Blk,Male,6 Yrs,No,,Owner,,10/20/2020,11/3/2020,Rescue Only,
X,A125044,6,Polly,Lab Mix,Brw/Wht,Female,4 Yrs,No,,Owner,,10/21/2020,11/4/2020,Adopted,10/22/2020
X,A125046,6,Molly,Collie Mix,Brw/Wht,Female,6 Mo,,Y      ,Owner,,10/21/2020,11/4/2020,Has Appt from spray hold,
X,A125059,P7,Bingo,Feist Mix,Red,Male,8 Mo,No,,Owner,,10/22/2020,11/5/2020,,
X,A125062,P8,Biscuit,Feist Mix,Tan,Male,8 Mo,No,,Owner,,10/22/2020,11/5/2020,,
X,A125072,P6,Chris,Chi Mix,Brw/Blk,Male,9 Yrs,No,,Owner,,10/22/2020,11/5/2020,,
X,A125056,13,Jolene,Lab Mix,tan/wht,Female,Adult,No,,Stray,28144,10/27/2020,11/5/2020,,x
X,A125053,16,Layla,Lab Mix,Wht/Tan,Female,4 Mo,No,,Stray,28144,10/27/2020,11/052020,,
X,A125054,16,Jeremiah,Lab Mix,Tan/Wht,Male,4 Mo,No,,Stray,28144,10/27/2020,11/5/2020,,X
X,A125055,16,Roxanne,Lab Mix,Wht/Tan,Female,4 Mo,No,,Stray,28144,10/27/2020,11/5/2020,,x
X,A125073,17,Saddie,Lab Mix,Blk/Wht,Female,Adult,No,,Stray,28146,10/27/2020,11/5/2020,,
X,A125074,18,Bailey,Terrier Mix,Tan/Wht,Female,Adult,No,,Stray,28146,10/27/2020,11/5/2020,,
X,A125077,19,Cindy,Terr Mix,Blk,Female,Adult,No,,Stray,28071,10/27/2020,11/5/2020,,
